,Type,Year,Age_group,Gender,Total
413,Causes Not known,2006,15-29,Male,4052
385,Causes Not known,2003,30-44,Male,4025
1274,Family Problems,2008,30-44,Female,3995
2113,Other Causes (Please Specity),2008,15-29,Male,3982
1284,Family Problems,2009,30-44,Female,3956
363,Causes Not known,2001,15-29,Male,3908
2083,Other Causes (Please Specity),2005,15-29,Male,3906
403,Causes Not known,2005,15-29,Male,3901
383,Causes Not known,2003,15-29,Male,3885
1254,Family Problems,2006,30-44,Female,3874
393,Causes Not known,2004,15-29,Male,3865
2095,Other Causes (Please Specity),2006,30-44,Male,3850
2123,Other Causes (Please Specity),2009,15-29,Male,3844
473,Causes Not known,2012,15-29,Male,3843
1294,Family Problems,2010,30-44,Female,3831
1247,Family Problems,2005,45-59,Male,3781
2175,Other Prolonged Illness,2002,30-44,Male,3776
2103,Other Causes (Please Specity),2007,15-29,Male,3745
2075,Other Causes (Please Specity),2004,30-44,Male,3733
1314,Family Problems,2012,30-44,Female,3703
1237,Family Problems,2004,45-59,Male,3672
1227,Family Problems,2003,45-59,Male,3656
1264,Family Problems,2007,30-44,Female,3632
1204,Family Problems,2001,30-44,Female,3601
2147,Other Causes (Please Specity),2011,45-59,Male,3573
2235,Other Prolonged Illness,2008,30-44,Male,3525
2055,Other Causes (Please Specity),2002,30-44,Male,3485
2137,Other Causes (Please Specity),2010,45-59,Male,3473
1224,Family Problems,2003,30-44,Female,3432
1214,Family Problems,2002,30-44,Female,3422
2157,Other Causes (Please Specity),2012,45-59,Male,3411
1234,Family Problems,2004,30-44,Female,3399
457,Causes Not known,2010,45-59,Male,3398
2195,Other Prolonged Illness,2004,30-44,Male,3387
2215,Other Prolonged Illness,2006,30-44,Male,3370
2065,Other Causes (Please Specity),2003,30-44,Male,3305
2225,Other Prolonged Illness,2007,30-44,Male,3301
2255,Other Prolonged Illness,2010,30-44,Male,3299
2177,Other Prolonged Illness,2002,45-59,Male,3291
467,Causes Not known,2011,45-59,Male,3288
2257,Other Prolonged Illness,2010,45-59,Male,3285
2165,Other Prolonged Illness,2001,30-44,Male,3280
427,Causes Not known,2007,45-59,Male,3266
1217,Family Problems,2002,45-59,Male,3249
2247,Other Prolonged Illness,2009,45-59,Male,3184
2265,Other Prolonged Illness,2011,30-44,Male,3177
447,Causes Not known,2009,45-59,Male,3176
1244,Family Problems,2005,30-44,Female,3171
2245,Other Prolonged Illness,2009,30-44,Male,3168
362,Causes Not known,2001,15-29,Female,3149
2093,Other Causes (Please Specity),2006,15-29,Male,3139
2127,Other Causes (Please Specity),2009,45-59,Male,3135
2185,Other Prolonged Illness,2003,30-44,Male,3109
2275,Other Prolonged Illness,2012,30-44,Male,3108
2267,Other Prolonged Illness,2011,45-59,Male,3090
2063,Other Causes (Please Specity),2003,15-29,Male,3079
2073,Other Causes (Please Specity),2004,15-29,Male,3073
2227,Other Prolonged Illness,2007,45-59,Male,3050
1207,Family Problems,2001,45-59,Male,3044
2167,Other Prolonged Illness,2001,45-59,Male,3020
2237,Other Prolonged Illness,2008,45-59,Male,2973
2277,Other Prolonged Illness,2012,45-59,Male,2968
397,Causes Not known,2004,45-59,Male,2947
437,Causes Not known,2008,45-59,Male,2943
2197,Other Prolonged Illness,2004,45-59,Male,2940
2217,Other Prolonged Illness,2006,45-59,Male,2937
2045,Other Causes (Please Specity),2001,30-44,Male,2927
2205,Other Prolonged Illness,2005,30-44,Male,2895
377,Causes Not known,2002,45-59,Male,2894
442,Causes Not known,2009,15-29,Female,2890
2187,Other Prolonged Illness,2003,45-59,Male,2888
452,Causes Not known,2010,15-29,Female,2881
2142,Other Causes (Please Specity),2011,15-29,Female,2855
2087,Other Causes (Please Specity),2005,45-59,Male,2845
2053,Other Causes (Please Specity),2002,15-29,Male,2820
432,Causes Not known,2008,15-29,Female,2816
2117,Other Causes (Please Specity),2008,45-59,Male,2808
477,Causes Not known,2012,45-59,Male,2801
462,Causes Not known,2011,15-29,Female,2796
2122,Other Causes (Please Specity),2009,15-29,Female,2792
367,Causes Not known,2001,45-59,Male,2773
422,Causes Not known,2007,15-29,Female,2745
2107,Other Causes (Please Specity),2007,45-59,Male,2709
2207,Other Prolonged Illness,2005,45-59,Male,2655
407,Causes Not known,2005,45-59,Male,2626
372,Causes Not known,2002,15-29,Female,2605
2152,Other Causes (Please Specity),2012,15-29,Female,2599
2132,Other Causes (Please Specity),2010,15-29,Female,2543
2233,Other Prolonged Illness,2008,15-29,Male,2523
392,Causes Not known,2004,15-29,Female,2519
2082,Other Causes (Please Specity),2005,15-29,Female,2518
402,Causes Not known,2005,15-29,Female,2494
2077,Other Causes (Please Specity),2004,45-59,Male,2476
417,Causes Not known,2006,45-59,Male,2476
2112,Other Causes (Please Specity),2008,15-29,Female,2474
387,Causes Not known,2003,45-59,Male,2467
2043,Other Causes (Please Specity),2001,15-29,Male,2443
412,Causes Not known,2006,15-29,Female,2434
2173,Other Prolonged Illness,2002,15-29,Male,2414
2067,Other Causes (Please Specity),2003,45-59,Male,2398
2253,Other Prolonged Illness,2010,15-29,Male,2380
2193,Other Prolonged Illness,2004,15-29,Male,2376
2223,Other Prolonged Illness,2007,15-29,Male,2361
382,Causes Not known,2003,15-29,Female,2359
364,Causes Not known,2001,30-44,Female,2340
2163,Other Prolonged Illness,2001,15-29,Male,2317
2213,Other Prolonged Illness,2006,15-29,Male,2314
2134,Other Causes (Please Specity),2010,30-44,Female,2304
464,Causes Not known,2011,30-44,Female,2298
472,Causes Not known,2012,15-29,Female,2284
454,Causes Not known,2010,30-44,Female,2281
2124,Other Causes (Please Specity),2009,30-44,Female,2275
2102,Other Causes (Please Specity),2007,15-29,Female,2245
782,Dowry Dispute,2007,15-29,Female,2242
2183,Other Prolonged Illness,2003,15-29,Male,2241
444,Causes Not known,2009,30-44,Female,2196
2144,Other Causes (Please Specity),2011,30-44,Female,2192
792,Dowry Dispute,2008,15-29,Female,2184
2097,Other Causes (Please Specity),2006,45-59,Male,2183
2072,Other Causes (Please Specity),2004,15-29,Female,2168
2263,Other Prolonged Illness,2011,15-29,Male,2146
2057,Other Causes (Please Specity),2002,45-59,Male,2142
812,Dowry Dispute,2010,15-29,Female,2122
1775,Insanity/Mental Illness,2010,30-44,Male,2111
2052,Other Causes (Please Specity),2002,15-29,Female,2108
2047,Other Causes (Please Specity),2001,45-59,Male,2089
2203,Other Prolonged Illness,2005,15-29,Male,2085
2212,Other Prolonged Illness,2006,15-29,Female,2079
2232,Other Prolonged Illness,2008,15-29,Female,2060
424,Causes Not known,2007,30-44,Female,2058
802,Dowry Dispute,2009,15-29,Female,2053
2084,Other Causes (Please Specity),2005,30-44,Female,2052
374,Causes Not known,2002,30-44,Female,2051
2222,Other Prolonged Illness,2007,15-29,Female,2041
1755,Insanity/Mental Illness,2008,30-44,Male,2039
822,Dowry Dispute,2011,15-29,Female,2037
2114,Other Causes (Please Specity),2008,30-44,Female,2026
2259,Other Prolonged Illness,2010,60+,Male,2023
1745,Insanity/Mental Illness,2007,30-44,Male,2014
2243,Other Prolonged Illness,2009,15-29,Male,2013
2042,Other Causes (Please Specity),2001,15-29,Female,2013
752,Dowry Dispute,2004,15-29,Female,2010
2273,Other Prolonged Illness,2012,15-29,Male,2004
2092,Other Causes (Please Specity),2006,15-29,Female,1997
2172,Other Prolonged Illness,2002,15-29,Female,1992
2154,Other Causes (Please Specity),2012,30-44,Female,1984
434,Causes Not known,2008,30-44,Female,1983
2062,Other Causes (Please Specity),2003,15-29,Female,1969
2262,Other Prolonged Illness,2011,15-29,Female,1965
2279,Other Prolonged Illness,2012,60+,Male,1948
1785,Insanity/Mental Illness,2011,30-44,Male,1944
2249,Other Prolonged Illness,2009,60+,Male,1936
2162,Other Prolonged Illness,2001,15-29,Female,1935
2192,Other Prolonged Illness,2004,15-29,Female,1896
2234,Other Prolonged Illness,2008,30-44,Female,1880
2252,Other Prolonged Illness,2010,15-29,Female,1880
1735,Insanity/Mental Illness,2006,30-44,Male,1878
2269,Other Prolonged Illness,2011,60+,Male,1865
394,Causes Not known,2004,30-44,Female,1858
2272,Other Prolonged Illness,2012,15-29,Female,1854
1256,Family Problems,2006,45-59,Female,1851
2219,Other Prolonged Illness,2006,60+,Male,1845
1765,Insanity/Mental Illness,2009,30-44,Male,1837
2174,Other Prolonged Illness,2002,30-44,Female,1821
2242,Other Prolonged Illness,2009,15-29,Female,1818
1296,Family Problems,2010,45-59,Female,1818
2229,Other Prolonged Illness,2007,60+,Male,1816
2179,Other Prolonged Illness,2002,60+,Male,1814
1306,Family Problems,2011,45-59,Female,1809
2184,Other Prolonged Illness,2003,30-44,Female,1805
2214,Other Prolonged Illness,2006,30-44,Female,1799
2199,Other Prolonged Illness,2004,60+,Male,1795
722,Dowry Dispute,2001,15-29,Female,1784
2209,Other Prolonged Illness,2005,60+,Male,1783
1286,Family Problems,2009,45-59,Female,1773
2182,Other Prolonged Illness,2003,15-29,Female,1767
1725,Insanity/Mental Illness,2005,30-44,Male,1757
1903,Love Affairs,2011,15-29,Male,1745
2202,Other Prolonged Illness,2005,15-29,Female,1745
384,Causes Not known,2003,30-44,Female,1742
1266,Family Problems,2007,45-59,Female,1739
1705,Insanity/Mental Illness,2003,30-44,Male,1739
2194,Other Prolonged Illness,2004,30-44,Female,1739
742,Dowry Dispute,2003,15-29,Female,1732
1795,Insanity/Mental Illness,2012,30-44,Male,1732
2164,Other Prolonged Illness,2001,30-44,Female,1729
2244,Other Prolonged Illness,2009,30-44,Female,1728
762,Dowry Dispute,2005,15-29,Female,1727
2104,Other Causes (Please Specity),2007,30-44,Female,1724
772,Dowry Dispute,2006,15-29,Female,1720
2254,Other Prolonged Illness,2010,30-44,Female,1718
732,Dowry Dispute,2002,15-29,Female,1712
2274,Other Prolonged Illness,2012,30-44,Female,1710
1276,Family Problems,2008,45-59,Female,1709
2224,Other Prolonged Illness,2007,30-44,Female,1707
404,Causes Not known,2005,30-44,Female,1699
2264,Other Prolonged Illness,2011,30-44,Female,1699
2189,Other Prolonged Illness,2003,60+,Male,1695
2054,Other Causes (Please Specity),2002,30-44,Female,1692
1226,Family Problems,2003,45-59,Female,1686
1316,Family Problems,2012,45-59,Female,1674
2239,Other Prolonged Illness,2008,60+,Male,1673
1773,Insanity/Mental Illness,2010,15-29,Male,1651
414,Causes Not known,2006,30-44,Female,1641
1902,Love Affairs,2011,15-29,Female,1629
2094,Other Causes (Please Specity),2006,30-44,Female,1627
955,Drug Abuse/Addiction,2012,30-44,Male,1618
1777,Insanity/Mental Illness,2010,45-59,Male,1607
1893,Love Affairs,2010,15-29,Male,1599
1715,Insanity/Mental Illness,2004,30-44,Male,1588
1246,Family Problems,2005,45-59,Female,1577
1747,Insanity/Mental Illness,2007,45-59,Male,1575
474,Causes Not known,2012,30-44,Female,1565
2074,Other Causes (Please Specity),2004,30-44,Female,1557
2204,Other Prolonged Illness,2005,30-44,Female,1544
1853,Love Affairs,2006,15-29,Male,1542
2044,Other Causes (Please Specity),2001,30-44,Female,1530
1763,Insanity/Mental Illness,2009,15-29,Male,1529
1695,Insanity/Mental Illness,2002,30-44,Male,1526
2169,Other Prolonged Illness,2001,60+,Male,1520
1787,Insanity/Mental Illness,2011,45-59,Male,1509
1299,Family Problems,2010,60+,Male,1507
1913,Love Affairs,2012,15-29,Male,1506
945,Drug Abuse/Addiction,2011,30-44,Male,1503
1892,Love Affairs,2010,15-29,Female,1499
1319,Family Problems,2012,60+,Male,1494
1753,Insanity/Mental Illness,2008,15-29,Male,1483
1733,Insanity/Mental Illness,2006,15-29,Male,1475
1236,Family Problems,2004,45-59,Female,1470
1872,Love Affairs,2008,15-29,Female,1468
1823,Love Affairs,2003,15-29,Male,1465
1852,Love Affairs,2006,15-29,Female,1458
1743,Insanity/Mental Illness,2007,15-29,Male,1445
1259,Family Problems,2006,60+,Male,1444
1783,Insanity/Mental Illness,2011,15-29,Male,1424
1309,Family Problems,2011,60+,Male,1423
1216,Family Problems,2002,45-59,Female,1421
1873,Love Affairs,2008,15-29,Male,1417
1793,Insanity/Mental Illness,2012,15-29,Male,1416
469,Causes Not known,2011,60+,Male,1416
1883,Love Affairs,2009,15-29,Male,1415
1767,Insanity/Mental Illness,2009,45-59,Male,1413
1757,Insanity/Mental Illness,2008,45-59,Male,1403
935,Drug Abuse/Addiction,2010,30-44,Male,1398
1833,Love Affairs,2004,15-29,Male,1398
1206,Family Problems,2001,45-59,Female,1397
1912,Love Affairs,2012,15-29,Female,1389
2126,Other Causes (Please Specity),2009,45-59,Female,1380
832,Dowry Dispute,2012,15-29,Female,1378
2064,Other Causes (Please Specity),2003,30-44,Female,1371
1269,Family Problems,2007,60+,Male,1368
1882,Love Affairs,2009,15-29,Female,1360
1822,Love Affairs,2003,15-29,Female,1351
1279,Family Problems,2008,60+,Male,1348
1723,Insanity/Mental Illness,2005,15-29,Male,1334
1685,Insanity/Mental Illness,2001,30-44,Male,1332
466,Causes Not known,2011,45-59,Female,1331
459,Causes Not known,2010,60+,Male,1323
1289,Family Problems,2009,60+,Male,1319
2256,Other Prolonged Illness,2010,45-59,Female,1314
1862,Love Affairs,2007,15-29,Female,1289
2149,Other Causes (Please Specity),2011,60+,Male,1288
2159,Other Causes (Please Specity),2012,60+,Male,1281
1842,Love Affairs,2005,15-29,Female,1281
1797,Insanity/Mental Illness,2012,45-59,Male,1276
1727,Insanity/Mental Illness,2005,45-59,Male,1266
1737,Insanity/Mental Illness,2006,45-59,Male,1265
2176,Other Prolonged Illness,2002,45-59,Female,1255
456,Causes Not known,2010,45-59,Female,1255
2196,Other Prolonged Illness,2004,45-59,Female,1255
1703,Insanity/Mental Illness,2003,15-29,Male,1255
1713,Insanity/Mental Illness,2004,15-29,Male,1253
1843,Love Affairs,2005,15-29,Male,1251
1832,Love Affairs,2004,15-29,Female,1248
925,Drug Abuse/Addiction,2009,30-44,Male,1244
2166,Other Prolonged Illness,2001,45-59,Female,1238
1863,Love Affairs,2007,15-29,Male,1233
75,Bankruptcy or Sudden change in Economic,2009,30-44,Male,1232
2216,Other Prolonged Illness,2006,45-59,Female,1205
1717,Insanity/Mental Illness,2004,45-59,Male,1203
2246,Other Prolonged Illness,2009,45-59,Female,1200
2226,Other Prolonged Illness,2007,45-59,Female,1197
2136,Other Causes (Please Specity),2010,45-59,Female,1188
2186,Other Prolonged Illness,2003,45-59,Female,1183
2266,Other Prolonged Illness,2011,45-59,Female,1179
449,Causes Not known,2009,60+,Male,1179
2276,Other Prolonged Illness,2012,45-59,Female,1178
55,Bankruptcy or Sudden change in Economic,2007,30-44,Male,1176
45,Bankruptcy or Sudden change in Economic,2006,30-44,Male,1174
379,Causes Not known,2002,60+,Male,1168
1229,Family Problems,2003,60+,Male,1163
1772,Insanity/Mental Illness,2010,15-29,Female,1162
399,Causes Not known,2004,60+,Male,1162
25,Bankruptcy or Sudden change in Economic,2004,30-44,Male,1161
2206,Other Prolonged Illness,2005,45-59,Female,1152
1693,Insanity/Mental Illness,2002,15-29,Male,1148
65,Bankruptcy or Sudden change in Economic,2008,30-44,Male,1144
366,Causes Not known,2001,45-59,Female,1144
1802,Love Affairs,2001,15-29,Female,1142
2139,Other Causes (Please Specity),2010,60+,Male,1142
915,Drug Abuse/Addiction,2008,30-44,Male,1135
1813,Love Affairs,2002,15-29,Male,1132
1707,Insanity/Mental Illness,2003,45-59,Male,1130
1803,Love Affairs,2001,15-29,Male,1130
1053,Failure in Examination,2010,15-29,Male,1115
2236,Other Prolonged Illness,2008,45-59,Female,1114
1063,Failure in Examination,2011,15-29,Male,1112
2086,Other Causes (Please Specity),2005,45-59,Female,1109
1219,Family Problems,2002,60+,Male,1104
446,Causes Not known,2009,45-59,Female,1096
376,Causes Not known,2002,45-59,Female,1091
1784,Insanity/Mental Illness,2011,30-44,Female,1091
35,Bankruptcy or Sudden change in Economic,2005,30-44,Male,1090
1249,Family Problems,2005,60+,Male,1089
369,Causes Not known,2001,60+,Male,1081
1774,Insanity/Mental Illness,2010,30-44,Female,1077
1812,Love Affairs,2002,15-29,Female,1076
2089,Other Causes (Please Specity),2005,60+,Male,1070
993,Failure in Examination,2004,15-29,Male,1058
429,Causes Not known,2007,60+,Male,1056
1239,Family Problems,2004,60+,Male,1056
95,Bankruptcy or Sudden change in Economic,2011,30-44,Male,1055
426,Causes Not known,2007,45-59,Female,1055
1764,Insanity/Mental Illness,2009,30-44,Female,1055
1782,Insanity/Mental Illness,2011,15-29,Female,1054
15,Bankruptcy or Sudden change in Economic,2003,30-44,Male,1053
57,Bankruptcy or Sudden change in Economic,2007,45-59,Male,1051
2156,Other Causes (Please Specity),2012,45-59,Female,1047
895,Drug Abuse/Addiction,2006,30-44,Male,1045
1754,Insanity/Mental Illness,2008,30-44,Female,1045
1013,Failure in Examination,2006,15-29,Male,1038
1752,Insanity/Mental Illness,2008,15-29,Female,1034
5,Bankruptcy or Sudden change in Economic,2001,30-44,Male,1032
1744,Insanity/Mental Illness,2007,30-44,Female,1028
386,Causes Not known,2003,45-59,Female,1025
389,Causes Not known,2003,60+,Male,1024
439,Causes Not known,2008,60+,Male,1024
957,Drug Abuse/Addiction,2012,45-59,Male,1021
973,Failure in Examination,2002,15-29,Male,1016
1742,Insanity/Mental Illness,2007,15-29,Female,1014
47,Bankruptcy or Sudden change in Economic,2006,45-59,Male,1014
1033,Failure in Examination,2008,15-29,Male,1011
905,Drug Abuse/Addiction,2007,30-44,Male,1009
2069,Other Causes (Please Specity),2003,60+,Male,1009
479,Causes Not known,2012,60+,Male,1006
1003,Failure in Examination,2005,15-29,Male,1002
2146,Other Causes (Please Specity),2011,45-59,Female,994
3063,Unemployment,2007,15-29,Male,993
1073,Failure in Examination,2012,15-29,Male,990
2129,Other Causes (Please Specity),2009,60+,Male,987
3003,Unemployment,2001,15-29,Male,987
3083,Unemployment,2009,15-29,Male,986
2079,Other Causes (Please Specity),2004,60+,Male,986
85,Bankruptcy or Sudden change in Economic,2010,30-44,Male,984
3033,Unemployment,2004,15-29,Male,983
953,Drug Abuse/Addiction,2012,15-29,Male,983
1697,Insanity/Mental Illness,2002,45-59,Male,982
2555,Poverty,2004,30-44,Male,974
1762,Insanity/Mental Illness,2009,15-29,Female,969
824,Dowry Dispute,2011,30-44,Female,965
406,Causes Not known,2005,45-59,Female,959
1683,Insanity/Mental Illness,2001,15-29,Male,948
3005,Unemployment,2001,30-44,Male,946
115,Bankruptcy or Sudden change in Economic Status,2002,30-44,Male,944
1792,Insanity/Mental Illness,2012,15-29,Female,943
1052,Failure in Examination,2010,15-29,Female,942
2116,Other Causes (Please Specity),2008,45-59,Female,942
983,Failure in Examination,2003,15-29,Male,940
1209,Family Problems,2001,60+,Male,938
436,Causes Not known,2008,45-59,Female,936
1072,Failure in Examination,2012,15-29,Female,925
105,Bankruptcy or Sudden change in Economic,2012,30-44,Male,922
1687,Insanity/Mental Illness,2001,45-59,Male,922
943,Drug Abuse/Addiction,2011,15-29,Male,920
37,Bankruptcy or Sudden change in Economic,2005,45-59,Male,920
97,Bankruptcy or Sudden change in Economic,2011,45-59,Male,917
476,Causes Not known,2012,45-59,Female,917
2575,Poverty,2006,30-44,Male,914
409,Causes Not known,2005,60+,Male,911
2076,Other Causes (Please Specity),2004,45-59,Female,910
3023,Unemployment,2003,15-29,Male,910
2106,Other Causes (Please Specity),2007,45-59,Female,910
2595,Poverty,2008,30-44,Male,907
2605,Poverty,2009,30-44,Male,902
396,Causes Not known,2004,45-59,Female,900
1734,Insanity/Mental Illness,2006,30-44,Female,899
2258,Other Prolonged Illness,2010,60+,Female,898
3103,Unemployment,2011,15-29,Male,897
885,Drug Abuse/Addiction,2005,30-44,Male,896
27,Bankruptcy or Sudden change in Economic,2004,45-59,Male,896
2109,Other Causes (Please Specity),2007,60+,Male,891
1062,Failure in Examination,2011,15-29,Female,888
963,Failure in Examination,2001,15-29,Male,887
2615,Poverty,2010,30-44,Male,885
67,Bankruptcy or Sudden change in Economic,2008,45-59,Male,877
2585,Poverty,2007,30-44,Male,877
1732,Insanity/Mental Illness,2006,15-29,Female,877
947,Drug Abuse/Addiction,2011,45-59,Male,877
3013,Unemployment,2002,15-29,Male,876
1704,Insanity/Mental Illness,2003,30-44,Female,875
2268,Other Prolonged Illness,2011,60+,Female,874
1043,Failure in Examination,2009,15-29,Male,872
3093,Unemployment,2010,15-29,Male,872
2046,Other Causes (Please Specity),2001,45-59,Female,866
982,Failure in Examination,2003,15-29,Female,866
937,Drug Abuse/Addiction,2010,45-59,Male,861
3025,Unemployment,2003,30-44,Male,859
77,Bankruptcy or Sudden change in Economic,2009,45-59,Male,859
3073,Unemployment,2008,15-29,Male,857
2049,Other Causes (Please Specity),2001,60+,Male,851
1023,Failure in Examination,2007,15-29,Male,848
1722,Insanity/Mental Illness,2005,15-29,Female,845
419,Causes Not known,2006,60+,Male,842
3035,Unemployment,2004,30-44,Male,840
3015,Unemployment,2002,30-44,Male,839
814,Dowry Dispute,2010,30-44,Female,838
3065,Unemployment,2007,30-44,Male,834
1724,Insanity/Mental Illness,2005,30-44,Female,832
875,Drug Abuse/Addiction,2004,30-44,Male,831
2248,Other Prolonged Illness,2009,60+,Female,830
1714,Insanity/Mental Illness,2004,30-44,Female,826
3105,Unemployment,2011,30-44,Male,826
7,Bankruptcy or Sudden change in Economic,2001,45-59,Male,817
3085,Unemployment,2009,30-44,Male,816
784,Dowry Dispute,2007,30-44,Female,812
1712,Insanity/Mental Illness,2004,15-29,Female,803
1702,Insanity/Mental Illness,2003,15-29,Female,802
1694,Insanity/Mental Illness,2002,30-44,Female,799
2208,Other Prolonged Illness,2005,60+,Female,798
2096,Other Causes (Please Specity),2006,45-59,Female,798
2228,Other Prolonged Illness,2007,60+,Female,794
2278,Other Prolonged Illness,2012,60+,Female,792
3095,Unemployment,2010,30-44,Male,784
2545,Poverty,2003,30-44,Male,781
2059,Other Causes (Please Specity),2002,60+,Male,778
3075,Unemployment,2008,30-44,Male,777
17,Bankruptcy or Sudden change in Economic,2003,45-59,Male,775
992,Failure in Examination,2004,15-29,Female,773
3045,Unemployment,2005,30-44,Male,773
1794,Insanity/Mental Illness,2012,30-44,Female,772
1032,Failure in Examination,2008,15-29,Female,770
2557,Poverty,2004,45-59,Male,766
2238,Other Prolonged Illness,2008,60+,Female,757
972,Failure in Examination,2002,15-29,Female,754
2119,Other Causes (Please Specity),2008,60+,Male,753
2525,Poverty,2001,30-44,Male,752
87,Bankruptcy or Sudden change in Economic,2010,45-59,Male,752
3053,Unemployment,2006,15-29,Male,752
2218,Other Prolonged Illness,2006,60+,Female,751
927,Drug Abuse/Addiction,2009,45-59,Male,751
2099,Other Causes (Please Specity),2006,60+,Male,751
3043,Unemployment,2005,15-29,Male,749
1012,Failure in Examination,2006,15-29,Female,747
2198,Other Prolonged Illness,2004,60+,Female,746
2565,Poverty,2005,30-44,Male,746
2188,Other Prolonged Illness,2003,60+,Female,743
933,Drug Abuse/Addiction,2010,15-29,Male,741
794,Dowry Dispute,2008,30-44,Female,740
416,Causes Not known,2006,45-59,Female,737
2066,Other Causes (Please Specity),2003,45-59,Female,734
804,Dowry Dispute,2009,30-44,Female,733
2056,Other Causes (Please Specity),2002,45-59,Female,727
865,Drug Abuse/Addiction,2003,30-44,Male,726
1042,Failure in Examination,2009,15-29,Female,719
117,Bankruptcy or Sudden change in Economic Status,2002,45-59,Male,718
855,Drug Abuse/Addiction,2002,30-44,Male,717
3113,Unemployment,2012,15-29,Male,714
1692,Insanity/Mental Illness,2002,15-29,Female,713
2178,Other Prolonged Illness,2002,60+,Female,712
2617,Poverty,2010,45-59,Male,712
1684,Insanity/Mental Illness,2001,30-44,Female,710
2535,Poverty,2002,30-44,Male,710
1786,Insanity/Mental Illness,2011,45-59,Female,709
1799,Insanity/Mental Illness,2012,60+,Male,703
2625,Poverty,2011,30-44,Male,695
1756,Insanity/Mental Illness,2008,45-59,Female,694
2597,Poverty,2008,45-59,Male,691
1002,Failure in Examination,2005,15-29,Female,687
3055,Unemployment,2006,30-44,Male,686
962,Failure in Examination,2001,15-29,Female,684
1022,Failure in Examination,2007,15-29,Female,684
923,Drug Abuse/Addiction,2009,15-29,Male,682
1682,Insanity/Mental Illness,2001,15-29,Female,682
2635,Poverty,2012,30-44,Male,681
2607,Poverty,2009,45-59,Male,677
2168,Other Prolonged Illness,2001,60+,Female,674
1779,Insanity/Mental Illness,2010,60+,Male,673
1789,Insanity/Mental Illness,2011,60+,Male,670
1776,Insanity/Mental Illness,2010,45-59,Female,669
