,Type,Year,State,Gender,Total
6683,Primary,2012,Karnataka,Male,2002
3325,Matriculate/Secondary,2012,Kerala,Male,1991
3885,Middle,2008,Kerala,Male,1990
4541,No Education,2005,Tamil Nadu,Male,1989
4268,No Education,2001,West Bengal,Female,1989
3709,Middle,2005,West Bengal,Male,1988
6298,Primary,2006,West Bengal,Female,1980
6583,Primary,2011,Andhra Pradesh,Male,1979
4653,No Education,2007,Karnataka,Male,1979
3631,Middle,2004,Tamil Nadu,Male,1974
4025,Middle,2010,Kerala,Male,1972
3771,Middle,2006,Tamil Nadu,Male,1963
4723,No Education,2008,Karnataka,Male,1961
3569,Middle,2003,West Bengal,Male,1958
6431,Primary,2008,Tamil Nadu,Male,1950
6653,Primary,2012,Andhra Pradesh,Male,1949
2905,Matriculate/Secondary,2006,Kerala,Male,1933
6299,Primary,2006,West Bengal,Male,1932
4269,No Education,2001,West Bengal,Male,1925
4622,No Education,2007,Andhra Pradesh,Female,1922
2625,Matriculate/Secondary,2002,Kerala,Male,1920
3561,Middle,2003,Tamil Nadu,Male,1920
3923,Middle,2009,Andhra Pradesh,Male,1919
4751,No Education,2008,Tamil Nadu,Male,1909
4863,No Education,2010,Karnataka,Male,1903
6641,Primary,2011,Tamil Nadu,Male,1900
6233,Primary,2006,Andhra Pradesh,Male,1899
4133,Middle,2012,Andhra Pradesh,Male,1880
6361,Primary,2007,Tamil Nadu,Male,1873
3853,Middle,2008,Andhra Pradesh,Male,1869
3115,Matriculate/Secondary,2009,Kerala,Male,1853
6023,Primary,2003,Andhra Pradesh,Male,1845
3701,Middle,2005,Tamil Nadu,Male,1845
4412,No Education,2004,Andhra Pradesh,Female,1843
3045,Matriculate/Secondary,2008,Kerala,Male,1840
3673,Middle,2005,Karnataka,Male,1835
4681,No Education,2007,Tamil Nadu,Male,1834
4338,No Education,2002,West Bengal,Female,1817
4163,Middle,2012,Karnataka,Male,1806
4165,Middle,2012,Kerala,Male,1806
3499,Middle,2002,West Bengal,Male,1799
4552,No Education,2006,Andhra Pradesh,Female,1788
6501,Primary,2009,Tamil Nadu,Male,1781
3153,Matriculate/Secondary,2010,Andhra Pradesh,Male,1775
3255,Matriculate/Secondary,2011,Kerala,Male,1774
6081,Primary,2003,Tamil Nadu,Male,1769
3185,Matriculate/Secondary,2010,Kerala,Male,1762
6019,Primary,2002,West Bengal,Male,1758
6125,Primary,2004,Kerala,Male,1749
5948,Primary,2001,West Bengal,Female,1740
2555,Matriculate/Secondary,2001,Kerala,Male,1734
3433,Middle,2002,Andhra Pradesh,Male,1731
3603,Middle,2004,Karnataka,Male,1729
4902,No Education,2011,Andhra Pradesh,Female,1724
5953,Primary,2002,Andhra Pradesh,Male,1723
3813,Middle,2007,Karnataka,Male,1712
3463,Middle,2002,Karnataka,Male,1703
4272,No Education,2002,Andhra Pradesh,Female,1700
4832,No Education,2010,Andhra Pradesh,Female,1700
3141,Matriculate/Secondary,2009,Tamil Nadu,Male,1696
3183,Matriculate/Secondary,2010,Karnataka,Male,1696
5985,Primary,2002,Kerala,Male,1695
5915,Primary,2001,Kerala,Male,1691
3639,Middle,2004,West Bengal,Male,1689
4692,No Education,2008,Andhra Pradesh,Female,1687
4482,No Education,2005,Andhra Pradesh,Female,1685
4050,Middle,2010,Tamil Nadu,Female,1684
4339,No Education,2002,West Bengal,Male,1682
3743,Middle,2006,Karnataka,Male,1679
6011,Primary,2002,Tamil Nadu,Male,1678
4198,Middle,2012,West Bengal,Female,1672
6158,Primary,2004,West Bengal,Female,1670
4762,No Education,2009,Andhra Pradesh,Female,1659
4202,No Education,2001,Andhra Pradesh,Female,1657
3429,Middle,2001,West Bengal,Male,1653
3083,Matriculate/Secondary,2009,Andhra Pradesh,Male,1653
6018,Primary,2002,West Bengal,Female,1652
4093,Middle,2011,Karnataka,Male,1650
4311,No Education,2002,Maharashtra,Male,1650
3281,Matriculate/Secondary,2011,Tamil Nadu,Male,1645
2511,Intermediate/Pre-University,2012,Tamil Nadu,Male,1643
3883,Middle,2008,Karnataka,Male,1637
2099,Intermediate/Pre-University,2006,West Bengal,Male,1632
4972,No Education,2012,Andhra Pradesh,Female,1630
6291,Primary,2006,Tamil Nadu,Male,1619
3351,Matriculate/Secondary,2012,Tamil Nadu,Male,1617
6089,Primary,2003,West Bengal,Male,1606
2695,Matriculate/Secondary,2003,Kerala,Male,1593
6151,Primary,2004,Tamil Nadu,Male,1588
4023,Middle,2010,Karnataka,Male,1585
4611,No Education,2006,Tamil Nadu,Male,1585
2765,Matriculate/Secondary,2004,Kerala,Male,1583
4688,No Education,2007,West Bengal,Female,1582
3918,Middle,2008,West Bengal,Female,1577
4401,No Education,2003,Tamil Nadu,Male,1572
4689,No Education,2007,West Bengal,Male,1554
4241,No Education,2001,Maharashtra,Male,1552
4232,No Education,2001,Karnataka,Female,1550
3043,Matriculate/Secondary,2008,Karnataka,Male,1550
6673,Primary,2012,Gujarat,Male,1549
4260,No Education,2001,Tamil Nadu,Female,1544
3421,Middle,2001,Tamil Nadu,Male,1543
3533,Middle,2003,Karnataka,Male,1542
4548,No Education,2005,West Bengal,Female,1538
5883,Primary,2001,Andhra Pradesh,Male,1536
3289,Matriculate/Secondary,2011,West Bengal,Male,1532
6088,Primary,2003,West Bengal,Female,1528
3503,Middle,2003,Andhra Pradesh,Male,1528
6711,Primary,2012,Tamil Nadu,Male,1527
4381,No Education,2003,Maharashtra,Male,1526
2973,Matriculate/Secondary,2007,Karnataka,Male,1522
5941,Primary,2001,Tamil Nadu,Male,1519
4302,No Education,2002,Karnataka,Female,1519
2729,Matriculate/Secondary,2003,West Bengal,Male,1512
3910,Middle,2008,Tamil Nadu,Female,1509
4342,No Education,2003,Andhra Pradesh,Female,1505
3980,Middle,2009,Tamil Nadu,Female,1503
6221,Primary,2005,Tamil Nadu,Male,1498
4821,No Education,2009,Tamil Nadu,Male,1498
3778,Middle,2006,West Bengal,Female,1497
4478,No Education,2004,West Bengal,Female,1490
3393,Middle,2001,Karnataka,Male,1485
3223,Matriculate/Secondary,2011,Andhra Pradesh,Male,1484
4451,No Education,2004,Maharashtra,Male,1476
3988,Middle,2009,West Bengal,Female,1472
5920,Primary,2001,Maharashtra,Female,1471
4479,No Education,2004,West Bengal,Male,1467
3491,Middle,2002,Tamil Nadu,Male,1466
6603,Primary,2011,Gujarat,Male,1464
4792,No Education,2009,Karnataka,Female,1455
3840,Middle,2007,Tamil Nadu,Female,1437
4120,Middle,2011,Tamil Nadu,Female,1436
3323,Matriculate/Secondary,2012,Karnataka,Male,1435
4372,No Education,2003,Karnataka,Female,1433
4521,No Education,2005,Maharashtra,Male,1423
5030,No Education,2012,Tamil Nadu,Female,1419
6200,Primary,2005,Maharashtra,Female,1414
6335,Primary,2007,Kerala,Male,1414
3568,Middle,2003,West Bengal,Female,1405
6685,Primary,2012,Kerala,Male,1403
3013,Matriculate/Secondary,2008,Andhra Pradesh,Male,1396
6060,Primary,2003,Maharashtra,Female,1395
2938,Matriculate/Secondary,2006,West Bengal,Female,1394
4330,No Education,2002,Tamil Nadu,Female,1390
6550,Primary,2010,Maharashtra,Female,1387
6130,Primary,2004,Maharashtra,Female,1382
6195,Primary,2005,Kerala,Male,1379
3953,Middle,2009,Karnataka,Male,1378
2869,Matriculate/Secondary,2005,West Bengal,Male,1376
3400,Middle,2001,Maharashtra,Female,1375
3750,Middle,2006,Maharashtra,Female,1371
3149,Matriculate/Secondary,2009,West Bengal,Male,1371
3009,Matriculate/Secondary,2007,West Bengal,Male,1369
6265,Primary,2006,Kerala,Male,1368
3770,Middle,2006,Tamil Nadu,Female,1366
3820,Middle,2007,Maharashtra,Female,1365
4549,No Education,2005,West Bengal,Male,1365
3211,Matriculate/Secondary,2010,Tamil Nadu,Male,1362
6270,Primary,2006,Maharashtra,Female,1361
5990,Primary,2002,Maharashtra,Female,1360
2903,Matriculate/Secondary,2006,Karnataka,Male,1357
6620,Primary,2011,Maharashtra,Female,1350
4829,No Education,2009,West Bengal,Male,1350
4058,Middle,2010,West Bengal,Female,1349
4890,No Education,2010,Tamil Nadu,Female,1349
4960,No Education,2011,Tamil Nadu,Female,1346
4591,No Education,2006,Maharashtra,Male,1340
6545,Primary,2010,Kerala,Male,1339
4661,No Education,2007,Maharashtra,Male,1334
3470,Middle,2002,Maharashtra,Female,1333
4190,Middle,2012,Tamil Nadu,Female,1326
6463,Primary,2009,Gujarat,Male,1322
4582,No Education,2006,Karnataka,Female,1320
3253,Matriculate/Secondary,2011,Karnataka,Male,1319
3630,Middle,2004,Tamil Nadu,Female,1318
6340,Primary,2007,Maharashtra,Female,1312
3960,Middle,2009,Maharashtra,Female,1312
4828,No Education,2009,West Bengal,Female,1312
6570,Primary,2010,Tamil Nadu,Female,1308
4932,No Education,2011,Karnataka,Female,1301
4862,No Education,2010,Karnataka,Female,1300
3708,Middle,2005,West Bengal,Female,1300
3293,Matriculate/Secondary,2012,Andhra Pradesh,Male,1296
6410,Primary,2008,Maharashtra,Female,1292
4100,Middle,2011,Maharashtra,Female,1290
3190,Matriculate/Secondary,2010,Maharashtra,Female,1289
4073,Middle,2011,Chhattisgarh,Male,1282
3071,Matriculate/Secondary,2008,Tamil Nadu,Male,1282
3363,Middle,2001,Andhra Pradesh,Male,1281
6690,Primary,2012,Maharashtra,Female,1280
4750,No Education,2008,Tamil Nadu,Female,1280
6512,Primary,2010,Andhra Pradesh,Female,1273
4969,No Education,2011,West Bengal,Male,1272
5009,No Education,2012,Madhya Pradesh,Male,1272
3113,Matriculate/Secondary,2009,Karnataka,Male,1268
4731,No Education,2008,Maharashtra,Male,1264
3890,Middle,2008,Maharashtra,Female,1263
4758,No Education,2008,West Bengal,Female,1263
4442,No Education,2004,Karnataka,Female,1263
4801,No Education,2009,Maharashtra,Male,1260
3359,Matriculate/Secondary,2012,West Bengal,Male,1260
4238,No Education,2001,Madhya Pradesh,Female,1259
6523,Primary,2010,Chhattisgarh,Male,1256
6405,Primary,2008,Kerala,Male,1254
3260,Matriculate/Secondary,2011,Maharashtra,Female,1249
6533,Primary,2010,Gujarat,Male,1245
3638,Middle,2004,West Bengal,Female,1240
6393,Primary,2008,Gujarat,Male,1239
3001,Matriculate/Secondary,2007,Tamil Nadu,Male,1232
6689,Primary,2012,Madhya Pradesh,Male,1229
3540,Middle,2003,Maharashtra,Female,1228
6593,Primary,2011,Chhattisgarh,Male,1228
3848,Middle,2007,West Bengal,Female,1227
4030,Middle,2010,Maharashtra,Female,1227
4470,No Education,2004,Tamil Nadu,Female,1226
6080,Primary,2003,Tamil Nadu,Female,1226
3428,Middle,2001,West Bengal,Female,1222
4680,No Education,2007,Tamil Nadu,Female,1219
3700,Middle,2005,Tamil Nadu,Female,1214
3560,Middle,2003,Tamil Nadu,Female,1210
6430,Primary,2008,Tamil Nadu,Female,1208
4871,No Education,2010,Maharashtra,Male,1207
4169,Middle,2012,Madhya Pradesh,Male,1205
4170,Middle,2012,Maharashtra,Female,1202
4540,No Education,2005,Tamil Nadu,Female,1201
4143,Middle,2012,Chhattisgarh,Male,1200
6615,Primary,2011,Kerala,Male,1196
2943,Matriculate/Secondary,2007,Andhra Pradesh,Male,1195
4652,No Education,2007,Karnataka,Female,1190
3680,Middle,2005,Maharashtra,Female,1190
4240,No Education,2001,Maharashtra,Female,1189
4003,Middle,2010,Chhattisgarh,Male,1188
5011,No Education,2012,Maharashtra,Male,1187
2763,Matriculate/Secondary,2004,Karnataka,Male,1184
3330,Matriculate/Secondary,2012,Maharashtra,Female,1175
6332,Primary,2007,Karnataka,Female,1171
4843,No Education,2010,Chhattisgarh,Male,1167
6640,Primary,2011,Tamil Nadu,Female,1166
2791,Matriculate/Secondary,2004,Tamil Nadu,Male,1165
2833,Matriculate/Secondary,2005,Karnataka,Male,1165
6323,Primary,2007,Gujarat,Male,1164
4099,Middle,2011,Madhya Pradesh,Male,1161
4610,No Education,2006,Tamil Nadu,Female,1160
3079,Matriculate/Secondary,2008,West Bengal,Male,1159
4941,No Education,2011,Maharashtra,Male,1159
4400,No Education,2003,Tamil Nadu,Female,1158
2733,Matriculate/Secondary,2004,Andhra Pradesh,Male,1157
6475,Primary,2009,Kerala,Male,1156
6619,Primary,2011,Madhya Pradesh,Male,1156
2693,Matriculate/Secondary,2003,Karnataka,Male,1151
4759,No Education,2008,West Bengal,Male,1150
6360,Primary,2007,Tamil Nadu,Female,1150
6479,Primary,2009,Madhya Pradesh,Male,1149
4869,No Education,2010,Madhya Pradesh,Male,1149
3329,Matriculate/Secondary,2012,Madhya Pradesh,Male,1143
3959,Middle,2009,Madhya Pradesh,Male,1143
6192,Primary,2005,Karnataka,Female,1142
4310,No Education,2002,Maharashtra,Female,1141
6480,Primary,2009,Maharashtra,Female,1140
6253,Primary,2006,Gujarat,Male,1138
5008,No Education,2012,Madhya Pradesh,Female,1138
4799,No Education,2009,Madhya Pradesh,Male,1132
2799,Matriculate/Secondary,2004,West Bengal,Male,1130
4380,No Education,2003,Maharashtra,Female,1128
3782,Middle,2007,Andhra Pradesh,Female,1127
4512,No Education,2005,Karnataka,Female,1125
4899,No Education,2010,West Bengal,Male,1120
4820,No Education,2009,Tamil Nadu,Female,1117
4968,No Education,2011,West Bengal,Female,1117
6150,Primary,2004,Tamil Nadu,Female,1116
4029,Middle,2010,Madhya Pradesh,Male,1115
6302,Primary,2007,Andhra Pradesh,Female,1112
5038,No Education,2012,West Bengal,Female,1109
3610,Middle,2004,Maharashtra,Female,1106
6372,Primary,2008,Andhra Pradesh,Female,1104
6262,Primary,2006,Karnataka,Female,1104
2861,Matriculate/Secondary,2005,Tamil Nadu,Male,1103
4798,No Education,2009,Madhya Pradesh,Female,1100
4722,No Education,2008,Karnataka,Female,1100
3498,Middle,2002,West Bengal,Female,1098
5039,No Education,2012,West Bengal,Male,1096
2873,Matriculate/Secondary,2006,Andhra Pradesh,Male,1096
6402,Primary,2008,Karnataka,Female,1095
6290,Primary,2006,Tamil Nadu,Female,1093
6183,Primary,2005,Gujarat,Male,1090
4450,No Education,2004,Maharashtra,Female,1089
6549,Primary,2010,Madhya Pradesh,Male,1088
6652,Primary,2012,Andhra Pradesh,Female,1080
5882,Primary,2001,Andhra Pradesh,Female,1076
6162,Primary,2005,Andhra Pradesh,Female,1074
3259,Matriculate/Secondary,2011,Madhya Pradesh,Male,1071
2371,Intermediate/Pre-University,2010,Tamil Nadu,Male,1070
2231,Intermediate/Pre-University,2008,Tamil Nadu,Male,1069
2931,Matriculate/Secondary,2006,Tamil Nadu,Male,1065
6052,Primary,2003,Karnataka,Female,1062
3219,Matriculate/Secondary,2010,West Bengal,Male,1062
4308,No Education,2002,Madhya Pradesh,Female,1062
5982,Primary,2002,Karnataka,Female,1060
6542,Primary,2010,Karnataka,Female,1058
6663,Primary,2012,Chhattisgarh,Male,1054
2553,Matriculate/Secondary,2001,Karnataka,Male,1051
4378,No Education,2003,Madhya Pradesh,Female,1050
4939,No Education,2011,Madhya Pradesh,Male,1043
6010,Primary,2002,Tamil Nadu,Female,1040
5002,No Education,2012,Karnataka,Female,1038
4773,No Education,2009,Chhattisgarh,Male,1037
2623,Matriculate/Secondary,2002,Karnataka,Male,1035
4062,Middle,2011,Andhra Pradesh,Female,1028
3642,Middle,2005,Andhra Pradesh,Female,1026
2161,Intermediate/Pre-University,2007,Tamil Nadu,Male,1026
6672,Primary,2012,Gujarat,Female,1024
2098,Intermediate/Pre-University,2006,West Bengal,Female,1015
6220,Primary,2005,Tamil Nadu,Female,1015
4239,No Education,2001,Madhya Pradesh,Male,1008
6122,Primary,2004,Karnataka,Female,1008
6582,Primary,2011,Andhra Pradesh,Female,1007
6710,Primary,2012,Tamil Nadu,Female,1007
5912,Primary,2001,Karnataka,Female,1006
6059,Primary,2003,Madhya Pradesh,Male,1005
4898,No Education,2010,West Bengal,Female,999
2728,Matriculate/Secondary,2003,West Bengal,Female,999
1889,Intermediate/Pre-University,2003,West Bengal,Male,995
6092,Primary,2004,Andhra Pradesh,Female,995
6682,Primary,2012,Karnataka,Female,993
3933,Middle,2009,Chhattisgarh,Male,992
4729,No Education,2008,Madhya Pradesh,Male,991
2659,Matriculate/Secondary,2002,West Bengal,Male,988
4868,No Education,2010,Madhya Pradesh,Female,988
6043,Primary,2003,Gujarat,Male,988
2910,Matriculate/Secondary,2006,Maharashtra,Female,987
4563,No Education,2006,Chhattisgarh,Male,986
6383,Primary,2008,Chhattisgarh,Male,985
5919,Primary,2001,Madhya Pradesh,Male,984
5989,Primary,2002,Madhya Pradesh,Male,983
3140,Matriculate/Secondary,2009,Tamil Nadu,Female,981
6453,Primary,2009,Chhattisgarh,Male,978
3120,Matriculate/Secondary,2009,Maharashtra,Female,977
6113,Primary,2004,Gujarat,Male,975
5973,Primary,2002,Gujarat,Male,974
6409,Primary,2008,Madhya Pradesh,Male,971
6442,Primary,2009,Andhra Pradesh,Female,967
2770,Matriculate/Secondary,2004,Maharashtra,Female,966
2593,Matriculate/Secondary,2002,Andhra Pradesh,Male,965
2173,Intermediate/Pre-University,2008,Andhra Pradesh,Male,965
2441,Intermediate/Pre-University,2011,Tamil Nadu,Male,964
6313,Primary,2007,Chhattisgarh,Male,963
4913,No Education,2011,Chhattisgarh,Male,963
3863,Middle,2008,Chhattisgarh,Male,962
6472,Primary,2009,Karnataka,Female,960
4493,No Education,2005,Chhattisgarh,Male,959
4520,No Education,2005,Maharashtra,Female,959
4098,Middle,2011,Madhya Pradesh,Female,956
6612,Primary,2011,Karnataka,Female,952
6602,Primary,2011,Gujarat,Female,951
3350,Matriculate/Secondary,2012,Tamil Nadu,Female,950
3712,Middle,2006,Andhra Pradesh,Female,949
4589,No Education,2006,Madhya Pradesh,Male,948
3889,Middle,2008,Madhya Pradesh,Male,947
2700,Matriculate/Secondary,2003,Maharashtra,Female,946
4409,No Education,2003,West Bengal,Male,946
2630,Matriculate/Secondary,2002,Maharashtra,Female,943
6500,Primary,2009,Tamil Nadu,Female,941
4408,No Education,2003,West Bengal,Female,941
6532,Primary,2010,Gujarat,Female,938
3189,Matriculate/Secondary,2010,Madhya Pradesh,Male,937
2980,Matriculate/Secondary,2007,Maharashtra,Female,932
6022,Primary,2003,Andhra Pradesh,Female,930
6392,Primary,2008,Gujarat,Female,930
5952,Primary,2002,Andhra Pradesh,Female,929
6269,Primary,2006,Madhya Pradesh,Male,929
4590,No Education,2006,Maharashtra,Female,923
3394,Middle,2001,Kerala,Female,923
2483,Intermediate/Pre-University,2012,Karnataka,Male,923
6232,Primary,2006,Andhra Pradesh,Female,922
6462,Primary,2009,Gujarat,Female,922
4728,No Education,2008,Madhya Pradesh,Female,922
4379,No Education,2003,Madhya Pradesh,Male,920
6618,Primary,2011,Madhya Pradesh,Female,918
2840,Matriculate/Secondary,2005,Maharashtra,Female,915
5940,Primary,2001,Tamil Nadu,Female,914
5988,Primary,2002,Madhya Pradesh,Female,913
3288,Matriculate/Secondary,2011,West Bengal,Female,911
2029,Intermediate/Pre-University,2005,West Bengal,Male,911
6548,Primary,2010,Madhya Pradesh,Female,910
2721,Matriculate/Secondary,2003,Tamil Nadu,Male,909
3572,Middle,2004,Andhra Pradesh,Female,906
4938,No Education,2011,Madhya Pradesh,Female,905
3922,Middle,2009,Andhra Pradesh,Female,900
4162,Middle,2012,Karnataka,Female,898
2560,Matriculate/Secondary,2001,Maharashtra,Female,895
3958,Middle,2009,Madhya Pradesh,Female,892
3313,Matriculate/Secondary,2012,Gujarat,Male,890
2091,Intermediate/Pre-University,2006,Tamil Nadu,Male,887
3992,Middle,2010,Andhra Pradesh,Female,884
2421,Intermediate/Pre-University,2011,Maharashtra,Male,881
3602,Middle,2004,Karnataka,Female,881
3050,Matriculate/Secondary,2008,Maharashtra,Female,881
4423,No Education,2004,Chhattisgarh,Male,878
4747,No Education,2008,Rajasthan,Male,876
3280,Matriculate/Secondary,2011,Tamil Nadu,Female,876
2313,Intermediate/Pre-University,2010,Andhra Pradesh,Male,875
3852,Middle,2008,Andhra Pradesh,Female,875
6322,Primary,2007,Gujarat,Female,874
2383,Intermediate/Pre-University,2011,Andhra Pradesh,Male,873
1959,Intermediate/Pre-University,2004,West Bengal,Male,873
2301,Intermediate/Pre-University,2009,Tamil Nadu,Male,872
3793,Middle,2007,Chhattisgarh,Male,870
5027,No Education,2012,Rajasthan,Male,868
4448,No Education,2004,Madhya Pradesh,Female,867
6478,Primary,2009,Madhya Pradesh,Female,864
4028,Middle,2010,Madhya Pradesh,Female,863
4588,No Education,2006,Madhya Pradesh,Female,863
6129,Primary,2004,Madhya Pradesh,Male,862
5903,Primary,2001,Gujarat,Male,862
4817,No Education,2009,Rajasthan,Male,860
4132,Middle,2012,Andhra Pradesh,Female,859
4887,No Education,2010,Rajasthan,Male,856
4659,No Education,2007,Madhya Pradesh,Male,855
3469,Middle,2002,Madhya Pradesh,Male,855
4309,No Education,2002,Madhya Pradesh,Male,855
6408,Primary,2008,Madhya Pradesh,Female,854
6173,Primary,2005,Chhattisgarh,Male,848
5902,Primary,2001,Gujarat,Female,845
4518,No Education,2005,Madhya Pradesh,Female,841
6287,Primary,2006,Rajasthan,Male,841
3787,Middle,2007,Assam,Male,841
2275,Intermediate/Pre-University,2009,Kerala,Male,841
3490,Middle,2002,Tamil Nadu,Female,840
3502,Middle,2003,Andhra Pradesh,Female,838
3420,Middle,2001,Tamil Nadu,Female,837
3672,Middle,2005,Karnataka,Female,832
3432,Middle,2002,Andhra Pradesh,Female,832
2491,Intermediate/Pre-University,2012,Maharashtra,Male,831
