,State,Year,Type,Gender,Total
2482,Maharashtra,2009,Married,Female,3235
192,Andhra Pradesh,2008,Married,Female,3212
2472,Maharashtra,2008,Married,Female,3176
152,Andhra Pradesh,2004,Married,Female,3154
3632,Tamil Nadu,2004,Married,Female,3151
122,Andhra Pradesh,2001,Married,Female,3135
172,Andhra Pradesh,2006,Married,Female,3125
162,Andhra Pradesh,2005,Married,Female,3114
803,Chhattisgarh,2009,Married,Male,3106
813,Chhattisgarh,2010,Married,Male,3064
1433,Gujarat,2012,Married,Male,3047
3642,Tamil Nadu,2005,Married,Female,2986
4185,West Bengal,2011,Never Married,Male,2973
3622,Tamil Nadu,2003,Married,Female,2963
4175,West Bengal,2010,Never Married,Male,2941
2032,Karnataka,2012,Married,Female,2920
823,Chhattisgarh,2011,Married,Male,2865
1972,Karnataka,2006,Married,Female,2863
4155,West Bengal,2008,Never Married,Male,2844
3602,Tamil Nadu,2001,Married,Female,2833
1932,Karnataka,2002,Married,Female,2829
2022,Karnataka,2011,Married,Female,2822
3612,Tamil Nadu,2002,Married,Female,2817
2382,Madhya Pradesh,2011,Married,Female,2757
2362,Madhya Pradesh,2009,Married,Female,2735
1423,Gujarat,2011,Married,Male,2732
2012,Karnataka,2010,Married,Female,2730
1393,Gujarat,2008,Married,Male,2723
1992,Karnataka,2008,Married,Female,2715
1962,Karnataka,2005,Married,Female,2706
833,Chhattisgarh,2012,Married,Male,2696
1403,Gujarat,2009,Married,Male,2693
2353,Madhya Pradesh,2008,Married,Male,2693
1413,Gujarat,2010,Married,Male,2683
1942,Karnataka,2003,Married,Female,2678
763,Chhattisgarh,2005,Married,Male,2672
2392,Madhya Pradesh,2012,Married,Female,2672
1952,Karnataka,2004,Married,Female,2671
4195,West Bengal,2012,Never Married,Male,2658
2372,Madhya Pradesh,2010,Married,Female,2644
142,Andhra Pradesh,2003,Married,Female,2633
1922,Karnataka,2001,Married,Female,2607
4165,West Bengal,2009,Never Married,Male,2580
1982,Karnataka,2007,Married,Female,2574
3443,Rajasthan,2009,Married,Male,2527
783,Chhattisgarh,2007,Married,Male,2520
2333,Madhya Pradesh,2006,Married,Male,2515
132,Andhra Pradesh,2002,Married,Female,2503
2313,Madhya Pradesh,2004,Married,Male,2462
1383,Gujarat,2007,Married,Male,2451
793,Chhattisgarh,2008,Married,Male,2430
2343,Madhya Pradesh,2007,Married,Male,2425
3433,Rajasthan,2008,Married,Male,2421
2002,Karnataka,2009,Married,Female,2397
2495,Maharashtra,2010,Never Married,Male,2372
2292,Madhya Pradesh,2002,Married,Female,2370
2293,Madhya Pradesh,2002,Married,Male,2353
2312,Madhya Pradesh,2004,Married,Female,2337
2303,Madhya Pradesh,2003,Married,Male,2335
3453,Rajasthan,2010,Married,Male,2300
3473,Rajasthan,2012,Married,Male,2273
2515,Maharashtra,2012,Never Married,Male,2261
2283,Madhya Pradesh,2001,Married,Male,2260
2282,Madhya Pradesh,2001,Married,Female,2255
2302,Madhya Pradesh,2003,Married,Female,2251
753,Chhattisgarh,2004,Married,Male,2247
773,Chhattisgarh,2006,Married,Male,2216
2505,Maharashtra,2011,Never Married,Male,2211
3073,Odisha,2008,Married,Male,2205
3463,Rajasthan,2011,Married,Male,2163
4145,West Bengal,2007,Never Married,Male,2154
1373,Gujarat,2006,Married,Male,2120
3423,Rajasthan,2007,Married,Male,2112
1363,Gujarat,2005,Married,Male,2092
4115,West Bengal,2004,Never Married,Male,2084
4095,West Bengal,2002,Never Married,Male,2057
2332,Madhya Pradesh,2006,Married,Female,2050
1353,Gujarat,2004,Married,Male,2049
2415,Maharashtra,2002,Never Married,Male,2046
2323,Madhya Pradesh,2005,Married,Male,2031
4085,West Bengal,2001,Never Married,Male,2028
2352,Madhya Pradesh,2008,Married,Female,2020
2465,Maharashtra,2007,Never Married,Male,2019
2435,Maharashtra,2004,Never Married,Male,2000
2485,Maharashtra,2009,Never Married,Male,1995
2455,Maharashtra,2006,Never Married,Male,1994
3705,Tamil Nadu,2011,Never Married,Male,1990
723,Chhattisgarh,2001,Married,Male,1979
2475,Maharashtra,2008,Never Married,Male,1979
2035,Karnataka,2012,Never Married,Male,1968
1343,Gujarat,2003,Married,Male,1963
3413,Rajasthan,2006,Married,Male,1958
733,Chhattisgarh,2002,Married,Male,1957
1945,Karnataka,2003,Never Married,Male,1953
1333,Gujarat,2002,Married,Male,1952
4105,West Bengal,2003,Never Married,Male,1952
1323,Gujarat,2001,Married,Male,1948
2445,Maharashtra,2005,Never Married,Male,1937
3103,Odisha,2011,Married,Male,1935
4125,West Bengal,2005,Never Married,Male,1934
2425,Maharashtra,2003,Never Married,Male,1925
2015,Karnataka,2010,Never Married,Male,1921
2342,Madhya Pradesh,2007,Married,Female,1917
2042,Kerala,2001,Married,Female,1915
3113,Odisha,2012,Married,Male,1911
1432,Gujarat,2012,Married,Female,1903
2405,Maharashtra,2001,Never Married,Male,1892
2025,Karnataka,2011,Never Married,Male,1873
3023,Odisha,2003,Married,Male,1871
3403,Rajasthan,2005,Married,Male,1869
3695,Tamil Nadu,2010,Never Married,Male,1861
743,Chhattisgarh,2003,Married,Male,1854
4084,West Bengal,2001,Never Married,Female,1853
3943,Uttar Pradesh,2011,Married,Male,1847
3393,Rajasthan,2004,Married,Male,1828
3033,Odisha,2004,Married,Male,1806
1402,Gujarat,2009,Married,Female,1800
1935,Karnataka,2002,Never Married,Male,1794
2052,Kerala,2002,Married,Female,1782
2322,Madhya Pradesh,2005,Married,Female,1780
1985,Karnataka,2007,Never Married,Male,1776
2005,Karnataka,2009,Never Married,Male,1775
1995,Karnataka,2008,Never Married,Male,1771
4174,West Bengal,2010,Never Married,Female,1766
1955,Karnataka,2004,Never Married,Male,1762
1975,Karnataka,2006,Never Married,Male,1761
2122,Kerala,2009,Married,Female,1754
1392,Gujarat,2008,Married,Female,1754
2112,Kerala,2008,Married,Female,1723
4184,West Bengal,2011,Never Married,Female,1718
1422,Gujarat,2011,Married,Female,1709
2092,Kerala,2006,Married,Female,1697
3053,Odisha,2006,Married,Male,1686
1925,Karnataka,2001,Never Married,Male,1686
3013,Odisha,2002,Married,Male,1681
2062,Kerala,2003,Married,Female,1678
1543,Haryana,2011,Married,Male,1676
2082,Kerala,2005,Married,Female,1675
2102,Kerala,2007,Married,Female,1666
3383,Rajasthan,2003,Married,Male,1665
4135,West Bengal,2006,Never Married,Male,1650
3083,Odisha,2009,Married,Male,1645
4094,West Bengal,2002,Never Married,Female,1633
3093,Odisha,2010,Married,Male,1624
3043,Odisha,2005,Married,Male,1621
3715,Tamil Nadu,2012,Never Married,Male,1614
1412,Gujarat,2010,Married,Female,1613
473,Assam,2012,Married,Male,1600
2395,Madhya Pradesh,2012,Never Married,Male,1592
3063,Odisha,2007,Married,Male,1589
4154,West Bengal,2008,Never Married,Female,1580
2072,Kerala,2004,Married,Female,1576
2132,Kerala,2010,Married,Female,1575
1965,Karnataka,2005,Never Married,Male,1562
1322,Gujarat,2001,Married,Female,1562
1382,Gujarat,2007,Married,Female,1549
2142,Kerala,2011,Married,Female,1548
3953,Uttar Pradesh,2012,Married,Male,1546
195,Andhra Pradesh,2008,Never Married,Male,1533
3923,Uttar Pradesh,2009,Married,Male,1532
205,Andhra Pradesh,2009,Never Married,Male,1527
3942,Uttar Pradesh,2011,Married,Female,1515
3685,Tamil Nadu,2009,Never Married,Male,1514
4194,West Bengal,2012,Never Married,Female,1513
215,Andhra Pradesh,2010,Never Married,Male,1506
1513,Haryana,2008,Married,Male,1492
825,Chhattisgarh,2011,Never Married,Male,1491
3853,Uttar Pradesh,2002,Married,Male,1490
2385,Madhya Pradesh,2011,Never Married,Male,1474
3913,Uttar Pradesh,2008,Married,Male,1471
155,Andhra Pradesh,2004,Never Married,Male,1464
3635,Tamil Nadu,2004,Never Married,Male,1453
2152,Kerala,2012,Married,Female,1443
3675,Tamil Nadu,2008,Never Married,Male,1442
1533,Haryana,2010,Married,Male,1434
3373,Rajasthan,2002,Married,Male,1422
2365,Madhya Pradesh,2009,Never Married,Male,1417
1352,Gujarat,2004,Married,Female,1397
1342,Gujarat,2003,Married,Female,1395
175,Andhra Pradesh,2006,Never Married,Male,1393
165,Andhra Pradesh,2005,Never Married,Male,1389
3665,Tamil Nadu,2007,Never Married,Male,1385
815,Chhattisgarh,2010,Never Married,Male,1381
1332,Gujarat,2002,Married,Female,1381
1523,Haryana,2009,Married,Male,1381
3605,Tamil Nadu,2001,Never Married,Male,1379
1553,Haryana,2012,Married,Male,1371
1503,Haryana,2007,Married,Male,1370
822,Chhattisgarh,2011,Married,Female,1366
802,Chhattisgarh,2009,Married,Female,1365
3112,Odisha,2012,Married,Female,1361
3363,Rajasthan,2001,Married,Male,1356
2375,Madhya Pradesh,2010,Never Married,Male,1356
4164,West Bengal,2009,Never Married,Female,1354
3912,Uttar Pradesh,2008,Married,Female,1344
3645,Tamil Nadu,2005,Never Married,Male,1344
1493,Haryana,2006,Married,Male,1342
1372,Gujarat,2006,Married,Female,1333
3102,Odisha,2011,Married,Female,1330
3863,Uttar Pradesh,2003,Married,Male,1328
3922,Uttar Pradesh,2009,Married,Female,1322
3625,Tamil Nadu,2003,Never Married,Male,1311
3902,Uttar Pradesh,2007,Married,Female,1305
2355,Madhya Pradesh,2008,Never Married,Male,1302
3852,Uttar Pradesh,2002,Married,Female,1302
3873,Uttar Pradesh,2004,Married,Male,1301
3003,Odisha,2001,Married,Male,1294
1362,Gujarat,2005,Married,Female,1294
3843,Uttar Pradesh,2001,Married,Male,1294
413,Assam,2006,Married,Male,1274
2494,Maharashtra,2010,Never Married,Female,1271
4114,West Bengal,2004,Never Married,Female,1270
453,Assam,2010,Married,Male,1267
3615,Tamil Nadu,2002,Never Married,Male,1255
3932,Uttar Pradesh,2010,Married,Female,1254
3903,Uttar Pradesh,2007,Married,Male,1253
1453,Haryana,2002,Married,Male,1252
423,Assam,2007,Married,Male,1249
1463,Haryana,2003,Married,Male,1246
2085,Kerala,2005,Never Married,Male,1238
2065,Kerala,2003,Never Married,Male,1236
3062,Odisha,2007,Married,Female,1233
3952,Uttar Pradesh,2012,Married,Female,1216
3882,Uttar Pradesh,2005,Married,Female,1214
812,Chhattisgarh,2010,Married,Female,1210
4144,West Bengal,2007,Never Married,Female,1208
145,Andhra Pradesh,2003,Never Married,Male,1205
3655,Tamil Nadu,2006,Never Married,Male,1197
3883,Uttar Pradesh,2005,Married,Male,1195
2055,Kerala,2002,Never Married,Male,1193
2045,Kerala,2001,Never Married,Male,1187
3842,Uttar Pradesh,2001,Married,Female,1184
3002,Odisha,2001,Married,Female,1181
1483,Haryana,2005,Married,Male,1180
3872,Uttar Pradesh,2004,Married,Female,1179
782,Chhattisgarh,2007,Married,Female,1179
2514,Maharashtra,2012,Never Married,Female,1179
3052,Odisha,2006,Married,Female,1178
3862,Uttar Pradesh,2003,Married,Female,1163
1473,Haryana,2004,Married,Male,1163
3092,Odisha,2010,Married,Female,1157
185,Andhra Pradesh,2007,Never Married,Male,1156
3072,Odisha,2008,Married,Female,1153
403,Assam,2005,Married,Male,1149
792,Chhattisgarh,2008,Married,Female,1149
433,Assam,2008,Married,Male,1146
2504,Maharashtra,2011,Never Married,Female,1144
4124,West Bengal,2005,Never Married,Female,1137
235,Andhra Pradesh,2012,Never Married,Male,1136
3694,Tamil Nadu,2010,Never Married,Female,1131
762,Chhattisgarh,2005,Married,Female,1130
2285,Madhya Pradesh,2001,Never Married,Male,1125
443,Assam,2009,Married,Male,1119
3082,Odisha,2009,Married,Female,1118
2075,Kerala,2004,Never Married,Male,1113
2444,Maharashtra,2005,Never Married,Female,1108
2394,Madhya Pradesh,2012,Never Married,Female,1108
2414,Maharashtra,2002,Never Married,Female,1106
4104,West Bengal,2003,Never Married,Female,1106
2404,Maharashtra,2001,Never Married,Female,1102
3452,Rajasthan,2010,Married,Female,1101
463,Assam,2011,Married,Male,1097
3032,Odisha,2004,Married,Female,1097
3432,Rajasthan,2008,Married,Female,1094
3442,Rajasthan,2009,Married,Female,1090
835,Chhattisgarh,2012,Never Married,Male,1085
3933,Uttar Pradesh,2010,Married,Male,1083
3472,Rajasthan,2012,Married,Female,1082
3893,Uttar Pradesh,2006,Married,Male,1079
393,Assam,2004,Married,Male,1076
2014,Karnataka,2010,Never Married,Female,1055
2434,Maharashtra,2004,Never Married,Female,1054
832,Chhattisgarh,2012,Married,Female,1053
1984,Karnataka,2007,Never Married,Female,1052
772,Chhattisgarh,2006,Married,Female,1047
3022,Odisha,2003,Married,Female,1047
3435,Rajasthan,2008,Never Married,Male,1043
3704,Tamil Nadu,2011,Never Married,Female,1040
2384,Madhya Pradesh,2011,Never Married,Female,1040
2484,Maharashtra,2009,Never Married,Female,1037
2034,Karnataka,2012,Never Married,Female,1032
363,Assam,2001,Married,Male,1032
752,Chhattisgarh,2004,Married,Female,1028
225,Andhra Pradesh,2011,Never Married,Male,1028
1994,Karnataka,2008,Never Married,Female,1026
3634,Tamil Nadu,2004,Never Married,Female,1026
3042,Odisha,2005,Married,Female,1016
3402,Rajasthan,2005,Married,Female,1015
722,Chhattisgarh,2001,Married,Female,1014
2424,Maharashtra,2003,Never Married,Female,1012
1443,Haryana,2001,Married,Male,1008
3012,Odisha,2002,Married,Female,1008
1944,Karnataka,2003,Never Married,Female,1007
2364,Madhya Pradesh,2009,Never Married,Female,1002
2155,Kerala,2012,Never Married,Male,1000
1954,Karnataka,2004,Never Married,Female,1000
2095,Kerala,2006,Never Married,Male,999
2374,Madhya Pradesh,2010,Never Married,Female,998
2024,Karnataka,2011,Never Married,Female,996
2105,Kerala,2007,Never Married,Male,996
2474,Maharashtra,2008,Never Married,Female,991
2145,Kerala,2011,Never Married,Male,985
3714,Tamil Nadu,2012,Never Married,Female,985
1435,Gujarat,2012,Never Married,Male,984
2004,Karnataka,2009,Never Married,Female,982
3684,Tamil Nadu,2009,Never Married,Female,976
3412,Rajasthan,2006,Married,Female,976
2305,Madhya Pradesh,2003,Never Married,Male,976
3892,Uttar Pradesh,2006,Married,Female,974
2295,Madhya Pradesh,2002,Never Married,Male,971
1934,Karnataka,2002,Never Married,Female,969
3644,Tamil Nadu,2005,Never Married,Female,965
3425,Rajasthan,2007,Never Married,Male,960
3462,Rajasthan,2011,Married,Female,958
1974,Karnataka,2006,Never Married,Female,956
2454,Maharashtra,2006,Never Married,Female,955
2464,Maharashtra,2007,Never Married,Female,949
3455,Rajasthan,2010,Never Married,Male,949
3422,Rajasthan,2007,Married,Female,946
732,Chhattisgarh,2002,Married,Female,945
4134,West Bengal,2006,Never Married,Female,944
2315,Madhya Pradesh,2004,Never Married,Male,935
2125,Kerala,2009,Never Married,Male,932
373,Assam,2002,Married,Male,927
3405,Rajasthan,2005,Never Married,Male,924
3392,Rajasthan,2004,Married,Female,922
3674,Tamil Nadu,2008,Never Married,Female,914
3624,Tamil Nadu,2003,Never Married,Female,914
2345,Madhya Pradesh,2007,Never Married,Male,911
2135,Kerala,2010,Never Married,Male,909
135,Andhra Pradesh,2002,Never Married,Male,908
1924,Karnataka,2001,Never Married,Female,894
2115,Kerala,2008,Never Married,Male,891
3382,Rajasthan,2003,Married,Female,890
3445,Rajasthan,2009,Never Married,Male,874
3415,Rajasthan,2006,Never Married,Male,871
3664,Tamil Nadu,2007,Never Married,Female,870
1964,Karnataka,2005,Never Married,Female,869
2284,Madhya Pradesh,2001,Never Married,Female,862
2354,Madhya Pradesh,2008,Never Married,Female,854
139,Andhra Pradesh,2002,Widowed/Widower,Male,847
742,Chhattisgarh,2003,Married,Female,846
3475,Rajasthan,2012,Never Married,Male,846
174,Andhra Pradesh,2006,Never Married,Female,840
3045,Odisha,2005,Never Married,Male,839
1425,Gujarat,2011,Never Married,Male,838
3115,Odisha,2012,Never Married,Male,835
194,Andhra Pradesh,2008,Never Married,Female,834
3654,Tamil Nadu,2006,Never Married,Female,827
125,Andhra Pradesh,2001,Never Married,Male,819
1415,Gujarat,2010,Never Married,Male,818
3614,Tamil Nadu,2002,Never Married,Female,817
3362,Rajasthan,2001,Married,Female,816
3075,Odisha,2008,Never Married,Male,802
3372,Rajasthan,2002,Married,Female,799
3604,Tamil Nadu,2001,Never Married,Female,795
1193,Delhi,2012,Married,Male,793
3065,Odisha,2007,Never Married,Male,792
204,Andhra Pradesh,2009,Never Married,Female,792
2335,Madhya Pradesh,2006,Never Married,Male,786
3105,Odisha,2011,Never Married,Male,778
3465,Rajasthan,2011,Never Married,Male,776
1395,Gujarat,2008,Never Married,Male,776
144,Andhra Pradesh,2003,Never Married,Female,774
383,Assam,2003,Married,Male,770
775,Chhattisgarh,2006,Never Married,Male,766
805,Chhattisgarh,2009,Never Married,Male,746
1183,Delhi,2011,Married,Male,742
3085,Odisha,2009,Never Married,Male,741
2344,Madhya Pradesh,2007,Never Married,Female,728
3707,Tamil Nadu,2011,Seperated,Male,727
3697,Tamil Nadu,2010,Seperated,Male,716
1405,Gujarat,2009,Never Married,Male,707
138,Andhra Pradesh,2002,Widowed/Widower,Female,704
795,Chhattisgarh,2008,Never Married,Male,698
164,Andhra Pradesh,2005,Never Married,Female,692
824,Chhattisgarh,2011,Never Married,Female,690
134,Andhra Pradesh,2002,Never Married,Female,689
3015,Odisha,2002,Never Married,Male,688
2304,Madhya Pradesh,2003,Never Married,Female,686
234,Andhra Pradesh,2012,Never Married,Female,685
154,Andhra Pradesh,2004,Never Married,Female,675
475,Assam,2012,Never Married,Male,673
2334,Madhya Pradesh,2006,Never Married,Female,671
2294,Madhya Pradesh,2002,Never Married,Female,670
214,Andhra Pradesh,2010,Never Married,Female,669
3687,Tamil Nadu,2009,Seperated,Male,667
3945,Uttar Pradesh,2011,Never Married,Male,664
3717,Tamil Nadu,2012,Seperated,Male,662
1143,Delhi,2007,Married,Male,661
1375,Gujarat,2006,Never Married,Male,657
1133,Delhi,2006,Married,Male,656
442,Assam,2009,Married,Female,652
1385,Gujarat,2007,Never Married,Male,652
3035,Odisha,2004,Never Married,Male,652
1545,Haryana,2011,Never Married,Male,651
184,Andhra Pradesh,2007,Never Married,Female,651
415,Assam,2006,Never Married,Male,648
755,Chhattisgarh,2004,Never Married,Male,647
785,Chhattisgarh,2007,Never Married,Male,646
814,Chhattisgarh,2010,Never Married,Female,641
1434,Gujarat,2012,Never Married,Female,641
3385,Rajasthan,2003,Never Married,Male,639
365,Assam,2001,Never Married,Male,634
445,Assam,2009,Never Married,Male,633
3095,Odisha,2010,Never Married,Male,633
3955,Uttar Pradesh,2012,Never Married,Male,625
1173,Delhi,2010,Married,Male,624
425,Assam,2007,Never Married,Male,619
1163,Delhi,2009,Married,Male,615
1335,Gujarat,2002,Never Married,Male,612
3025,Odisha,2003,Never Married,Male,606
3395,Rajasthan,2004,Never Married,Male,605
2044,Kerala,2001,Never Married,Female,601
2325,Madhya Pradesh,2005,Never Married,Male,600
3905,Uttar Pradesh,2007,Never Married,Male,599
1903,Jharkhand,2011,Married,Male,591
1424,Gujarat,2011,Never Married,Female,591
124,Andhra Pradesh,2001,Never Married,Female,591
395,Assam,2004,Never Married,Male,590
1355,Gujarat,2004,Never Married,Male,589
3055,Odisha,2006,Never Married,Male,588
3375,Rajasthan,2002,Never Married,Male,588
2324,Madhya Pradesh,2005,Never Married,Female,587
2064,Kerala,2003,Never Married,Female,587
2074,Kerala,2004,Never Married,Female,583
455,Assam,2010,Never Married,Male,582
1325,Gujarat,2001,Never Married,Male,581
472,Assam,2012,Married,Female,579
432,Assam,2008,Married,Female,579
157,Andhra Pradesh,2004,Seperated,Male,578
3855,Uttar Pradesh,2002,Never Married,Male,578
465,Assam,2011,Never Married,Male,577
3005,Odisha,2001,Never Married,Male,576
1863,Jharkhand,2007,Married,Male,573
224,Andhra Pradesh,2011,Never Married,Female,571
2054,Kerala,2002,Never Married,Female,570
452,Assam,2010,Married,Female,565
4098,West Bengal,2002,Widowed/Widower,Female,563
3114,Odisha,2012,Never Married,Female,563
2314,Madhya Pradesh,2004,Never Married,Female,560
405,Assam,2005,Never Married,Male,559
1414,Gujarat,2010,Never Married,Female,557
169,Andhra Pradesh,2005,Widowed/Widower,Male,555
3935,Uttar Pradesh,2010,Never Married,Male,554
1555,Haryana,2012,Never Married,Male,550
1365,Gujarat,2005,Never Married,Male,548
462,Assam,2011,Married,Female,546
745,Chhattisgarh,2003,Never Married,Male,544
3915,Uttar Pradesh,2008,Never Married,Male,541
725,Chhattisgarh,2001,Never Married,Male,539
3875,Uttar Pradesh,2004,Never Married,Male,537
3895,Uttar Pradesh,2006,Never Married,Male,534
412,Assam,2006,Married,Female,533
375,Assam,2002,Never Married,Male,533
3104,Odisha,2011,Never Married,Female,530
3925,Uttar Pradesh,2009,Never Married,Male,529
1552,Haryana,2012,Married,Female,528
2084,Kerala,2005,Never Married,Female,528
3865,Uttar Pradesh,2003,Never Married,Male,523
1893,Jharkhand,2010,Married,Male,522
765,Chhattisgarh,2005,Never Married,Male,519
1522,Haryana,2009,Married,Female,518
3954,Uttar Pradesh,2012,Never Married,Female,518
1153,Delhi,2008,Married,Male,516
422,Assam,2007,Married,Female,514
3014,Odisha,2002,Never Married,Female,513
1452,Haryana,2002,Married,Female,511
1542,Haryana,2011,Married,Female,509
1083,Delhi,2001,Married,Male,508
1113,Delhi,2004,Married,Male,508
3365,Rajasthan,2001,Never Married,Male,507
1345,Gujarat,2003,Never Married,Male,505
3004,Odisha,2001,Never Married,Female,503
3677,Tamil Nadu,2008,Seperated,Male,502
1123,Delhi,2005,Married,Male,501
392,Assam,2004,Married,Female,499
3716,Tamil Nadu,2012,Seperated,Female,499
735,Chhattisgarh,2002,Never Married,Male,498
435,Assam,2008,Never Married,Male,496
573,Bihar,2010,Married,Male,495
2009,Karnataka,2009,Widowed/Widower,Male,495
167,Andhra Pradesh,2005,Seperated,Male,494
402,Assam,2005,Married,Female,491
1883,Jharkhand,2009,Married,Male,491
1404,Gujarat,2009,Never Married,Female,489
1532,Haryana,2010,Married,Female,488
1442,Haryana,2001,Married,Female,487
3343,Punjab,2011,Married,Male,485
1394,Gujarat,2008,Never Married,Female,483
3667,Tamil Nadu,2007,Seperated,Male,482
3679,Tamil Nadu,2008,Widowed/Widower,Male,481
3639,Tamil Nadu,2004,Widowed/Widower,Male,481
2094,Kerala,2006,Never Married,Female,479
1512,Haryana,2008,Married,Female,479
362,Assam,2001,Married,Female,475
1472,Haryana,2004,Married,Female,474
1374,Gujarat,2006,Never Married,Female,474
3627,Tamil Nadu,2003,Seperated,Male,472
1103,Delhi,2003,Married,Male,471
2019,Karnataka,2010,Widowed/Widower,Male,471
3353,Punjab,2012,Married,Male,470
3084,Odisha,2009,Never Married,Female,468
372,Assam,2002,Married,Female,466
385,Assam,2003,Never Married,Male,466
187,Andhra Pradesh,2007,Seperated,Male,465
186,Andhra Pradesh,2007,Seperated,Female,463
3669,Tamil Nadu,2007,Widowed/Widower,Male,462
